BrandID;BrandName;BrandOwnerID;BrandOwner;ParentID;ParentCompany;SubBrandID;SubBrand;Revision Date
BBPW;Epic;BDVV;Epic Wheels;BDVV;Epic Wheels;;;12-Jul-07
BBPX;Ertel;BDVX;Ertel Engine Parts;BDVX;Ertel Engine Parts;;;12-Jul-07
BBPZ;Etna;BDWB;Etna Automotive Wiper Motors;BDWB;Etna Automotive Wiper Motors;;;12-Jul-07
BBQB;Euclid;BDWC;Euclid Industries;BDWC;Euclid Industries;;;12-Jul-07
BBQC;Evans;BDWF;Evans Inc;BDWF;Evans Inc;;;12-Jul-07
BBQD;Evap;BDWG;Evap Inc;BDWG;Evap Inc;;;12-Jul-07
BBQF;Eveready;BDWJ;Eveready Battery Company;BDWJ;Eveready Battery Company;;;12-Jul-07
BBQG;Excel Z;BDWK;Excel Automotive Inc;BDWK;Excel Automotive Inc;;;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFMT;NASCAR SELECT;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFMV;ROAD FORCE;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFMW;EDGE FLAT-PLATE;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFMX;GLOBAL EXTREME;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFNB;NASCAR EXTREME;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFNC;CLASSIC;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFND;STANDARD;12-Jul-07
BBQH;Exide;BDWL;Exide Technologies;BDWL;Exide Technologies;GFNF;PURE LEAD AGM;12-Jul-07
BBQJ;NASCAR Select;BDWL;Exide Technologies;BDWL;Exide Technologies;;;12-Jul-07
BBQL;Extang;BDWN;Extang Corporation;FGTR;Truck Hero Inc;;;12-Jul-07
